OBJNAME,OBJID,RA,DEC,Z,OBJTYPE,WISESize_flag,SNR_NUV_flag,SNR_W3_flag,SNR_flag,Mstar_all_flag,SFR_flag,sSFR_flag,Mstar_size_flag,tempel2014_flag,tempel2017_flag,tempel2017_groupIDs,tempel2017_Ngal,group_R200,group_M200,tempel2017_group_flag,tempel2017_cluster_flag,tempel2014_nearfilament_flag,tempel2014_farfilament_flag,KT2017_flag,KT2017_pg_flag,KT2017_rg_flag,tempel_field_flag,2D_5NN,2D_Sigma_Mstar,2D_3NN,Mstar,log_Sigma_M0,log_Sigma_M1,log_Sigma_M2,log_Sigma_M3,log_Sigma_M4,log_Sigma_M5,log_Sigma_M6,log_Sigma_M7,log_Sigma_M8,log_Sigma_M9,log_Sigma_M10,log_Sigma_M11,log_Sigma_M12,log_Sigma_M13,log_Sigma_M14,log_Sigma_M15,log_Sigma_M16,log_Sigma_M17,Sigma_ngal_0,Sigma_ngal_1,Sigma_ngal_2,Sigma_ngal_3,Sigma_ngal_4,Sigma_ngal_5,Sigma_ngal_6,Sigma_ngal_7,Sigma_ngal_8,Sigma_ngal_9,Sigma_ngal_10,Sigma_ngal_11,Sigma_ngal_12,Sigma_ngal_13,Sigma_ngal_14,Sigma_ngal_15,Sigma_ngal_16,Sigma_ngal_17,log_Sigma_ngal_0,log_Sigma_ngal_1,log_Sigma_ngal_2,log_Sigma_ngal_3,log_Sigma_ngal_4,log_Sigma_ngal_5,log_Sigma_ngal_6,log_Sigma_ngal_7,log_Sigma_ngal_8,log_Sigma_ngal_9,log_Sigma_ngal_10,log_Sigma_ngal_11,log_Sigma_ngal_12,log_Sigma_ngal_13,log_Sigma_ngal_14,log_Sigma_ngal_15,log_Sigma_ngal_16,log_Sigma_ngal_17,ratio_ngal_1,ratio_SigmaM_1,ratio_SigmaM_2,ratio_SigmaM_3,ratio_SigmaM_4,ratio_ngal_2,ratio_SigmaM_5,Sigma_2,Sigma_3,Sigma_5,Sigma_10,Sigma_20,ratio_Sigmak_1
b'NGC 3946',b'OBJID12190',178.3359583333333,21.021527777777777,0.022018567,b'G',True,False,True,True,True,False,True,True,True,True,6334,59,0.953052,94584700000000.0,True,False,True,False,False,False,False,False,9.465367946456034,915598188460.0782,7.56496142404549,10.497802477029461,11.203626857294472,11.203626857294472,11.485415550889941,11.47239106440448,11.484026932853707,11.683186908191141,11.733685395126685,11.485415550889941,11.052894981966007,10.809400601415396,11.024550029688655,11.870687082002513,12.120067416833262,11.052894981966007,11.304060874360996,11.008237369044089,12.000652604335327,11.008237369044089,54.0,54.0,40.0,35.0,39.0,28.0,11.0,40.0,68.0,42.0,38.0,2.0,3.0,68.0,27.0,123.0,1.0,124.0,1.7323937598229686,1.7323937598229686,1.6020599913279623,1.5440680443502757,1.591064607026499,1.4471580313422192,1.0413926851582251,1.6020599913279623,1.8325089127062364,1.6232492903979006,1.5797835966168101,0.3010299956639812,0.47712125471966244,1.8325089127062364,1.4313637641589874,2.089905111439398,0.0,2.093421685162235,-0.2304489213782741,0.18135467652894555,0.432520568923934,-0.3863820217065772,-0.24826984423674325,0.5606673061697371,0.7254480260825957,1.0031636837949542,0.878806717770059,0.9761375009210054,1.0851076438490095,1.1416230255757014,0.08194396005405524
b'NGC 3949',b'OBJID06382',178.4238333333333,47.858694444444446,0.0026685128,b'G',True,True,True,True,True,False,True,True,False,True,52921,9,0.26489,1993500000000.0,True,False,False,False,True,False,True,False,58.71962850265378,146719132204.31122,291268.3164371465,10.116091541019632,11.064516372230486,11.097069901469288,11.225473763060883,11.225473763060883,11.225473763060883,11.2596488123534,11.00666835797213,11.225473763060883,10.9461585905643,10.838191139345469,11.036842255810296,11.51177281389781,11.51177281389781,11.05828716464259,11.225473763060883,10.73043530127043,11.618941668325498,10.837777022895041,167.0,179.0,111.0,110.0,110.0,78.0,39.0,111.0,234.0,167.0,131.0,21.0,21.0,293.0,97.0,347.0,2.0,435.0,2.2227164711475833,2.2528530309798933,2.0453229787866576,2.041392685158225,2.041392685158225,1.8920946026904804,1.591064607026499,2.0453229787866576,2.369215857410143,2.2227164711475833,2.1172712956557644,1.3222192947339193,1.3222192947339193,2.4668676203541096,1.9867717342662448,2.5403294747908736,0.3010299956639812,2.6384892569546374,-0.32389287862348537,0.0,0.2793151724965828,-0.5051044559256805,0.21880540508875335,0.4542583717601585,0.27623305670169884,5.494940159135658,5.464293245544663,1.7687832992963337,1.92955819143561,2.0075110407260945,-3.5653819677000484
b'KUG 1151+354',b'OBJID00685',178.42512499999998,35.16913888888889,0.021899,b'G',True,True,True,True,True,False,True,True,True,True,78578,2,0.339684,4277960000000.0,True,False,False,False,False,False,False,False,6.311051369014166,32556070349.35629,10.02215483515542,9.96402436039655,10.299079250349966,10.299079250349966,10.103275083220495,10.103275083220495,10.103275083220495,10.353152556437095,10.581407482557058,10.103275083220495,10.214684967055662,10.168853054878653,10.299079250349966,10.670994470358341,10.670994470358341,10.214684967055662,10.103275083220495,10.025431471047908,11.466874487702418,10.025431471047908,15.0,15.0,10.0,10.0,10.0,9.0,6.0,10.0,20.0,19.0,15.0,1.0,1.0,20.0,10.0,28.0,1.0,28.0,1.1760912590556813,1.1760912590556813,1.0,1.0,1.0,0.9542425094393249,0.7781512503836436,1.0,1.3010299956639813,1.2787536009528289,1.1760912590556813,0.0,0.0,1.3010299956639813,1.0,1.4471580313422192,0.0,1.4471580313422192,-0.30102999566398125,0.0,-0.11140988383516692,-0.08958698780128316,-0.4781323993365625,0.22184874961635637,0.5559760115091503,0.8684579801971866,1.0009611079987712,0.8001017151436552,0.4331290461502408,0.11379534041562794,-0.4353289340469458
b'CGCG 097-175',b'OBJID04016',178.43549999999996,15.185361111111112,0.022595631,b'G',True,True,True,True,True,True,True,True,True,True,82412,3,0.574453,20701700000000.0,True,False,False,True,False,False,False,False,2.333759501866392,80956871590.57678,2.0195941931880164,10.359646099549138,10.3765843903008,10.3765843903008,10.560195751569468,10.560195751569468,10.560195751569468,10.349822446121447,10.70200496423281,10.560195751569468,10.291019818620871,9.876993350053564,9.747762454793484,11.06661620951093,11.06661620951093,10.291019818620871,10.099944972904847,10.171362471232655,11.862496226855004,10.171362471232655,15.0,15.0,9.0,8.0,9.0,5.0,2.0,9.0,20.0,10.0,7.0,1.0,1.0,20.0,5.0,38.0,1.0,38.0,1.1760912590556813,1.1760912590556813,0.9542425094393249,0.9030899869919435,0.9542425094393249,0.6989700043360189,0.3010299956639812,0.9542425094393249,1.3010299956639813,1.0,0.8450980400142568,0.0,0.0,1.3010299956639813,0.6989700043360189,1.5797835966168101,0.0,1.5797835966168101,-0.3467874862246564,0.46025077866462105,0.2691759329485972,-0.3646112452781196,-0.14180921266334146,0.6532125137753437,0.5306424930001548,0.13189767319697543,0.30526411332567316,0.36805609918412613,0.3424575227014851,0.15788731529393596,0.21055984950450968
b'NGC 3951',b'OBJID03594',178.42187499999997,23.38222222222222,0.021534897,b'G',True,True,True,True,True,True,True,True,True,True,43677,19,0.820845,60447300000000.0,True,False,False,True,False,False,False,False,7.8279490456071805,342459379278.09534,6.233196321927102,10.820994555320144,11.193130685023007,11.193130685023007,11.025249184176031,10.961556765293897,10.967781187258542,11.172541083191085,11.514983054611823,11.025249184176031,10.989702673198677,10.523862483337687,10.628304310758747,11.527964665281935,11.692971557262103,10.992013280906926,10.802472593364532,10.68911978474144,12.32384468262601,10.689924559087723,26.0,26.0,18.0,12.0,14.0,12.0,8.0,18.0,31.0,17.0,15.0,1.0,2.0,37.0,11.0,63.0,1.0,72.0,1.414973347970818,1.414973347970818,1.255272505103306,1.0791812460476249,1.146128035678238,1.0791812460476249,0.9030899869919435,1.255272505103306,1.4913616938342726,1.2304489213782739,1.1760912590556813,0.0,0.3010299956639812,1.568201724066995,1.0413926851582251,1.7993405494535817,0.0,1.8573324964312685,-0.23608918873096663,0.22277659081149892,0.03554651097735473,-0.17798850265027966,-0.4897338704357921,0.3521825181113625,0.8258632698703838,0.7143291207677976,0.7947108057283369,0.8936479900463042,0.8192495286978445,0.5398504951851791,0.10492040793004687
b'NGC 3954',b'OBJID07055',178.42366666666663,20.8825,0.023196047,b'G',True,False,False,False,True,False,False,True,True,True,6334,59,0.953052,94584700000000.0,True,False,True,False,False,False,False,False,15.443667103338488,866153281055.9608,13.61460568887295,11.053435348970584,11.193286178334768,11.193286178334768,11.472806286687268,11.325142552018624,11.430527057012497,11.645785549973775,11.716751331478926,11.472806286687268,11.04969202986067,10.747827080713003,10.965212470287899,11.760405458932375,12.027178305237202,11.04969202986067,11.258244706663794,10.969413099399699,12.55628547627645,10.994299777809807,53.0,53.0,36.0,27.0,32.0,29.0,12.0,36.0,66.0,34.0,30.0,1.0,3.0,66.0,23.0,108.0,1.0,113.0,1.724275869600789,1.724275869600789,1.5563025007672873,1.4313637641589874,1.505149978319906,1.462397997898956,1.0791812460476249,1.5563025007672873,1.8195439355418688,1.5314789170422551,1.4771212547196624,0.0,0.47712125471966244,1.8195439355418688,1.3617278360175928,2.03342375548695,0.0,2.0530784434834195,-0.2632414347745815,0.21456158002347436,0.4231142568265973,-0.31042697375827544,-0.24394504479165846,0.4771212547196624,0.7473382320792279,0.9928837716569067,1.134005067664491,1.1887504315986492,1.1345058984888452,1.198953184152468,0.14162212683193853
b'NGC 3953',b'OBJID11440',178.4538333333333,52.32677777777778,0.003502,b'G',True,True,True,True,True,True,True,True,False,True,52916,4,0.220811,1154760000000.0,True,False,False,False,True,False,True,False,38.02222457870447,192109600459.23718,32.8869697862809,10.659877459915503,10.98380517378273,11.068262583708801,11.223436280086359,11.162340303752693,11.162340303752693,11.109318480485001,11.355292191392214,11.162340303752693,10.838032744891303,10.727847031465624,10.91221450743719,11.441911560873068,11.441911560873068,11.065494125085719,11.152390251188432,10.734503282776034,12.162727587221369,10.843596894224893,136.0,152.0,93.0,86.0,86.0,52.0,21.0,87.0,202.0,145.0,111.0,8.0,8.0,260.0,80.0,309.0,2.0,360.0,2.1335389083702174,2.1818435879447726,1.968482948553935,1.9344984512435677,1.9344984512435677,1.7160033436347992,1.3222192947339193,1.9395192526186185,2.305351369446624,2.161368002234975,2.0453229787866576,0.9030899869919435,0.9030899869919435,2.4149733479708178,1.9030899869919435,2.4899584794248346,0.3010299956639812,2.5563025007672873,-0.3658321168280054,0.009950052564260403,0.3243075588613902,-0.08661936948085369,-0.19295188763952176,0.6172999578846992,0.6207889086161806,1.9018763377344228,1.5170238593226106,1.5800375226817847,1.5611307512386547,1.43481546784965,-0.340745586495768
b'CGCG 068-086',b'OBJID05505',178.475,13.278111111111112,0.02446359,b'G',True,True,False,False,True,True,True,True,True,True,73245,3,0.621301,26223900000000.0,True,False,False,True,False,False,False,False,0.7095724656527769,143771598663.7944,1.5648437297143925,10.609065484022985,10.047457515281605,10.217419626253811,10.486161320158459,10.11191561132885,10.11191561132885,10.519613601645167,10.713975602656813,10.269736128428567,9.815831115027299,9.672263853297792,9.896525580667433,11.316035593984775,11.316035593984775,9.979966027052926,10.11191561132885,9.959879258760212,12.11191561132885,10.080016034448663,8.0,9.0,5.0,1.0,2.0,3.0,1.0,4.0,9.0,5.0,4.0,1.0,1.0,11.0,1.0,17.0,1.0,22.0,0.9030899869919435,0.9542425094393249,0.6989700043360189,0.0,0.3010299956639812,0.47712125471966244,0.0,0.6020599913279624,0.9542425094393249,0.6989700043360189,0.6020599913279624,0.0,0.0,1.0413926851582251,0.0,1.2304489213782739,0.0,1.3424226808222062,-0.3521825181113625,0.1578205170997169,0.4539050134012683,-0.6020599913279625,-0.4442394742282456,0.6020599913279624,0.7540963438966006,0.20096721887140978,0.19447097401579913,-0.1490032452719741,-0.2055819042792134,-0.23368428231879024,-0.4065491231506232
b'UGC 06873',b'OBJID12564',178.4764583333333,20.74961111111111,0.02125137,b'G',True,True,True,True,True,True,True,True,True,True,6334,59,0.953052,94584700000000.0,True,False,True,False,False,False,False,False,35.029681480240164,1016224147330.3002,26.82996771740181,10.343764868497336,11.20662525884304,11.20662525884304,11.467346033179062,11.314216804707314,11.424799885138087,11.637255154360624,11.835431058254255,11.467346033179062,11.037704901972875,10.815231079740432,10.95755937496619,11.708457184405088,12.050373601279238,11.055703192060568,11.22380601251984,11.03875379267912,11.92567299730583,11.04848129065512,55.0,55.0,37.0,26.0,34.0,29.0,17.0,37.0,64.0,28.0,24.0,3.0,6.0,68.0,14.0,137.0,2.0,150.0,1.7403626894942439,1.7403626894942439,1.568201724066995,1.414973347970818,1.5314789170422551,1.462397997898956,1.2304489213782739,1.568201724066995,1.806179973983887,1.4471580313422192,1.380211241711606,0.47712125471966244,0.7781512503836436,1.8325089127062364,1.146128035678238,2.1367205671564067,0.3010299956639812,2.1760912590556813,-0.2379782499168921,0.2435400206592231,0.4296411312061874,-0.21494254302498383,-0.36808502507519236,0.3377528026887211,0.7966772655751342,1.3137514128558576,1.4286201501164904,1.5444361883595712,1.5250157918570484,1.156409138028118,0.21126437900119077
b'UGC 06876',b'OBJID07155',178.49862499999998,20.57247222222222,0.02255894,b'G',True,False,True,True,True,False,True,True,True,True,6334,59,0.953052,94584700000000.0,True,False,True,False,False,False,False,False,20.672305556850787,330007422684.3702,23.58345578554907,10.789532462871042,11.255164574416069,11.255164574416069,11.380300846076596,11.322504481814637,11.372928432529479,11.533074219109029,11.809243572832617,11.380300846076596,11.033780970479441,10.80139062641887,11.02561577851005,11.531962359458687,11.531962359458687,11.033780970479441,11.198309331519912,10.909189198372532,12.292382590176908,10.911077428600127,55.0,55.0,31.0,26.0,28.0,24.0,16.0,31.0,62.0,40.0,36.0,5.0,5.0,62.0,20.0,116.0,1.0,118.0,1.7403626894942439,1.7403626894942439,1.4913616938342726,1.414973347970818,1.4471580313422192,1.380211241711606,1.2041199826559248,1.4913616938342726,1.792391689498254,1.6020599913279623,1.5563025007672873,0.6989700043360189,0.6989700043360189,1.792391689498254,1.3010299956639813,2.0644579892269186,0.0,2.0718820073061255,-0.30102999566398125,0.1819915145566835,0.3465198755971546,0.2772812133739304,-0.42894272675602174,0.28724171117834785,0.9000543744600851,1.289479442380996,1.3726074444667797,1.3153889156587144,1.3552191423875457,1.0530104026773017,0.0657397000065496
