CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,NUV_r,W1_W3,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
262.1046,-0.7480268997562706,-1.0292050204456922,False,263.2256,-0.7344978826105578,-0.9355450390592454,False,25.4268,-0.7362743460794776,-1.1639168825542172,False,25.417,-0.6676528976483513,-0.8754172837231905,False,25.0935,-0.5671405773976954,-0.6091957331171765,False,1809.6754122333089,8.808414414327089,-1.0456992440870743,1.0524148259078996,inf,0.1685872853369137,False,True,False,False,False,1.4572549965646233,1.474467073328409,1.3062962308302533,1.4263783228843605,1.3747655203533664,0.6295,0.7629,0.5721,0.577,0.3698
508.9914,0.5991313788723848,0.48619317108407734,False,508.4573,0.7492124624566726,0.9735633785536629,False,48.6385,0.8190343845119,0.6406209405648527,False,48.6311,1.057314663830187,1.208513049845081,False,48.8946,0.2859309370887827,0.07852474915636859,False,2065.5721196274976,9.556270380340049,-0.865114105802932,0.7706071478495875,inf,-0.13275272480957057,False,True,False,False,False,3.7250111046262346,3.892116878466973,3.19467107647151,3.657995885451407,2.4618363665572813,1.265,1.5365,1.3467,1.2123,0.9034
618.4471,0.259768489035944,-0.36438516867779314,False,620.0802,0.35333505473504245,0.18410657556197532,False,59.2713,0.4079481520948985,-0.4571046239248271,False,59.2471,0.4987099368775501,0.03451861196678069,False,59.4307,0.3714908605438076,-0.2199686235845479,False,2202.600664358308,9.789876666578706,-1.0836252482557123,0.9537437799958778,3.0736345684814452,0.5244779332153318,False,False,False,False,True,3.1537402461941895,3.247049638207493,2.695551586291234,2.93532019749124,2.5708655590832854,0.9083,1.2166,0.8755,0.8544,0.6718
845.3353,1.1795892238978707,-0.9853288178899913,False,847.024,1.1349545478321579,-0.9199977497224289,False,80.8153,1.312756163610596,-0.4454564324510401,False,80.874,1.0724715681206032,-0.02386948804504886,False,80.8697,1.0183962930234551,-0.3873878339431188,False,1516.6975640757769,10.302613494540813,0.32093742788673646,0.8948626905874811,3.105911816589355,1.4095045732373048,False,False,False,False,True,4.702132237614999,4.52066899488396,3.794122342999619,3.6776046100233915,3.3952185282747176,0.6479,0.7692,0.8805,0.8366,0.5419
628.6472,0.8148393610891943,-0.6216809434473637,False,629.0544,0.9578326633517739,-0.6115197866903535,False,59.9558,1.1765527319311213,-1.1725365442448197,False,59.9315,1.3797753063987623,-0.1672155538044277,False,59.9574,0.7818001357271476,-0.06917533942786733,False,2557.5892201592083,9.807128211289209,-1.9096864697976048,0.8525587301587302,3.702810703796386,0.3582431964990249,False,False,True,False,False,4.088125893727164,4.23205559340473,3.6287512310045487,4.075168271334352,3.093723541567166,0.8004,0.8942,0.5684,0.7929,0.7888
1544.0449,-0.8991564366504682,3.4833670293590853,False,1543.4625,-0.8292344219214913,2.7726068589567268,False,147.1519,-0.8979129066375764,3.6036878876667697,False,147.175,-0.6880136444639303,1.0546702470049238,False,147.0339,-0.9694955528332402,1.166169642317247,False,2503.629374703005,9.035317397364844,-1.5485976620741932,0.7765858019423788,2.636336533874511,-0.010696835971680585,False,True,False,False,False,1.2028491588562158,1.3200974710903104,1.110043110250447,1.4000373056992717,0.8620437189644559,2.5219,2.2655,2.6186,1.1654,1.7473
1322.0558,0.4194520848527868,0.04933880650775396,False,1321.533,0.2887677948433121,-0.12215034613626886,False,126.0632,0.3524921284220477,0.5861074044675297,False,125.924,0.2538052016279337,0.06600882320911547,False,124.4301,-0.32182072626082664,0.19748389554663892,False,2359.9292832410447,9.54365800328154,-1.1519480853313762,0.6420228427217135,3.189337741210938,0.3449045367602537,False,True,False,False,False,3.4225456683302666,3.141839733986936,2.6282197710166684,2.6184831041198025,1.6873771286855321,1.0818,1.0925,1.3233,0.864,0.9957
605.4158,1.6636810475630694,-1.0036900548290617,False,605.327,1.4628092098964904,-0.9093861077941255,False,57.6668,1.049690139154741,-0.38372101763996924,False,57.7006,1.1798218543288561,-0.3840387791292551,False,57.9094,1.1324617084620079,-0.6744106064362194,False,3990.169964490687,10.026103823000632,-0.7680015545358657,1.0189514627384448,3.15543968017578,0.9666820786010746,False,True,False,False,False,5.51703439677105,5.05489574775983,3.4747212790472566,3.8164853573480517,3.540572329893602,0.6402,0.7735,0.907,0.7268,0.3192
622.983,0.864988673959492,-0.6677032646063323,False,620.3499,0.9285330761330414,-0.5342769047471218,False,58.8874,0.7378509718179364,0.18727332840506541,False,58.8006,0.5357742922844501,1.070415352626091,False,58.467,-0.031902832026371716,0.4134920530223625,False,1900.636167476704,9.777316150906758,-0.9469153900889719,0.664325609688658,3.1178106092529294,0.6162790351000975,False,False,False,False,True,4.17254538056911,4.184313025884383,3.096102405570844,2.9832709348374937,2.0568201182393717,0.7811,0.9255,1.1521,1.1702,1.1633
530.7038,1.013724935859058,-0.7800168048440226,False,530.8677,1.022069873935671,-0.7191169001959412,False,51.0128,1.01327341658974,-0.5915247535323281,False,50.993,1.2342585318097063,-0.26824664820691924,False,50.8151,0.794782277749025,-0.7614067319112277,False,3303.2068150055993,9.140217947789637,-2.123643806777407,0.9066495498152422,3.161140467041017,-1.6749215536083977,False,False,True,False,False,4.422922468223833,4.336727694780262,3.4305059914327543,3.886910939965928,3.1102667127709975,0.734,0.8506,0.8178,0.7621,0.2517
