Feature Cluster,CRE_g_unscaled,CRE_g_unscaled_err_low,CRE_g_unscaled_err_high,CRE_r_unscaled,CRE_r_unscaled_err_low,CRE_r_unscaled_err_high,CRE_W1-fixBA_unscaled,CRE_W1-fixBA_unscaled_err_low,CRE_W1-fixBA_unscaled_err_high,CRE_W2_unscaled,CRE_W2_unscaled_err_low,CRE_W2_unscaled_err_high,CRE_W3-fixBA_unscaled,CRE_W3-fixBA_unscaled_err_low,CRE_W3-fixBA_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,CN_r_unscaled,CN_r_unscaled_err_low,CN_r_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,CN_W2_unscaled,CN_W2_unscaled_err_low,CN_W2_unscaled_err_high,CN_W3-fixBA_unscaled,CN_W3-fixBA_unscaled_err_low,CN_W3-fixBA_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high,NUV_r,NUV_r_err_low,NUV_r_err_high,W1_W3,W1_W3_err_low,W1_W3_err_high
0,4.535046819338014,0.112670130842214,0.0572998271684142,4.300208630076144,0.03391325253345023,0.11683413687226363,3.4740657839453,0.04171067035729781,0.026318580518004175,3.6214623492328326,0.0491839067444495,0.03661621569469453,3.2461953775858055,0.05911643760671659,0.05136310204879768,0.9629,0.025899999999999923,0.01860000000000006,1.1099,0.031200000000000117,0.027799999999999825,1.0199,0.008099999999999996,0.011600000000000055,0.8962,0.013800000000000034,0.013600000000000056,0.6521,0.019100000000000006,0.010299999999999976,0.9301494584757668,0.00989570532045947,0.007827634010313944,2.6333607515258777,0.036759240173337204,0.05657726440429833,0.27178002321289085,0.035300408007813644,0.031384427983397245
1,1.7592273222850354,0.1244040040616139,0.08261919158716036,1.701197718302789,0.06288079420414872,0.10818748631124775,1.445727667580863,0.06471585008395064,0.08299053473778017,1.4057665368599832,0.07211392961423635,0.05692337478259635,1.2040065222009597,0.048309037817114486,0.06390296173082355,1.5109,0.02949999999999986,0.04170000000000007,1.5191,0.01849999999999996,0.03960000000000008,1.505,0.025499999999999856,0.042200000000000015,0.9952,0.015000000000000013,0.009599999999999942,1.0525,0.05789999999999995,0.05699999999999994,0.8510820533318105,0.02508095763687246,0.03270950029818509,2.8376738000488295,0.10180054803466909,0.17855119036864942,-0.045428985366211094,0.06263253154785176,0.061565743818359664
2,1.765507257256987,0.03838124974911139,0.05242394330682165,1.7542283987850997,0.06016653153220841,0.041077155554739564,1.580006927415798,0.03707560628357576,0.04819959884951763,1.7332535313499207,0.055201917477027074,0.04259880299997554,1.4810732315759063,0.033892881048685375,0.04054688784539673,0.8258,0.009800000000000031,0.011199999999999988,0.894,0.009000000000000008,0.011800000000000033,0.831,0.01639999999999997,0.015300000000000091,0.6822,0.0046000000000000485,0.007499999999999951,0.485,0.03059999999999996,0.016100000000000003,0.9316608426188435,0.010751110601918246,0.011041318776466524,2.4026824175415022,0.028066658508301146,0.02559963568115542,-0.04589484336669791,0.030280343039551738,0.03424324630615061
