CXC_g,CRE_g,CN_g,CNumerical_Error_g,CXC_r,CRE_r,CN_r,CNumerical_Error_r,CXC_W1-fixBA,CRE_W1-fixBA,CN_W1-fixBA,CNumerical_Error_W1-fixBA,CXC_W2,CRE_W2,CN_W2,CNumerical_Error_W2,CXC_W3-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CNumerical_Error_W3-fixBA,Vcosmic,logmstar,logsfr,Size Ratio,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CRE_r_unscaled,CRE_W1-fixBA_unscaled,CRE_W2_unscaled,CRE_W3-fixBA_unscaled,CN_g_unscaled,CN_r_unscaled,CN_W1-fixBA_unscaled,CN_W2_unscaled,CN_W3-fixBA_unscaled
262.1046,-0.698687398689327,-1.035353713604978,False,263.2256,-0.684368060700287,-0.9234889524485449,False,25.4268,-0.6829780677949441,-1.118324490574835,False,25.417,-0.6348916703575742,-0.8252323066357486,False,25.0935,-0.5185365553096625,-0.5818438399136457,False,1809.6754122333089,8.808414414327089,-1.0456992440870743,1.0524148259078996,False,True,False,False,False,1.4572549965646233,1.474467073328409,1.3062962308302533,1.4263783228843605,1.3747655203533664,0.6295,0.7629,0.5721,0.577,0.3698
508.9914,0.652286208350443,0.5222499623531216,False,508.4573,0.8033458231546715,1.03077873699765,False,48.6385,0.8642576243027258,0.6867589773313849,False,48.6311,1.086394476757966,1.275992477997121,False,48.8946,0.31803478374439687,0.09615076878979524,False,2065.5721196274976,9.556270380340049,-0.865114105802932,0.7706071478495875,False,True,False,False,False,3.7250111046262346,3.892116878466973,3.19467107647151,3.657995885451407,2.4618363665572813,1.265,1.5365,1.3467,1.2123,0.9034
618.4471,0.3119621984319664,-0.35201790737819866,False,620.0802,0.40640020790704545,0.2226476177450157,False,59.2713,0.4553051900913538,-0.41129851050415744,False,59.2471,0.5289819203197007,0.0922551091633356,False,59.4307,0.40193980052041717,-0.19812125402826503,False,2202.600664358308,9.789876666578706,-1.0836252482557123,0.9537437799958778,False,False,False,False,True,3.1537402461941895,3.247049638207493,2.695551586291234,2.93532019749124,2.5708655590832854,0.9083,1.2166,0.8755,0.8544,0.6718
845.3353,1.2343879858987166,-0.99025551118542,False,847.024,1.1901287676210124,-0.9075738975836134,False,80.8153,1.3554166743114038,-0.39964679692355953,False,80.874,1.1015190332834737,0.033382448740755466,False,80.8697,1.0363327379245209,-0.3631727901425396,False,1516.6975640757769,10.302613494540813,0.32093742788673646,0.8948626905874811,False,False,False,False,True,4.702132237614999,4.52066899488396,3.794122342999619,3.6776046100233915,3.3952185282747176,0.6479,0.7692,0.8805,0.8366,0.5419
628.6472,0.8686051037807273,-0.6164796487407147,False,629.0544,1.0125289500069612,-0.5917989994698927,False,59.9558,1.2199202248054974,-1.1269467586244777,False,59.9315,1.40816692595551,-0.11115324004951106,False,59.9574,0.804312841862742,-0.04946051711240559,False,2557.5892201592083,9.807128211289209,-1.9096864697976048,0.8525587301587302,False,False,True,False,False,4.088125893727164,4.23205559340473,3.6287512310045487,4.075168271334352,3.093723541567166,0.8004,0.8942,0.5684,0.7929,0.7888
1322.0558,0.472098039073767,0.07322872956708923,False,1321.533,0.34165872429957894,-0.09085370110228594,False,126.0632,0.4001370183446274,0.6322289577741866,False,125.924,0.2845998591365701,0.12400665635753587,False,124.4301,-0.2779616997705542,0.21342757235675108,False,2359.9292832410447,9.54365800328154,-1.1519480853313762,0.6420228427217135,False,True,False,False,False,3.4225456683302666,3.141839733986936,2.6282197710166684,2.6184831041198025,1.6873771286855321,1.0818,1.0925,1.3233,0.864,0.9957
605.4158,1.7198508209125583,-1.0091281285023002,False,605.327,1.5188680894578377,-0.8967112410885014,False,57.6668,1.0937161293259887,-0.3378927149463907,False,57.7006,1.2086402132207774,-0.3297758722929123,False,57.9094,1.1481918912460682,-0.6461364321182824,False,3990.169964490687,10.026103823000632,-0.7680015545358657,1.0189514627384448,False,True,False,False,False,5.51703439677105,5.05489574775983,3.4747212790472566,3.8164853573480517,3.540572329893602,0.6402,0.7735,0.907,0.7268,0.3192
622.983,0.9188964460630304,-0.6637837414960118,False,620.3499,0.9831503028596619,-0.512728964982217,False,58.8874,0.783495604996993,0.23327428477451598,False,58.8006,0.5659671732243872,1.136748713739221,False,58.467,0.0063485800556930625,0.4263809014772471,False,1900.636167476704,9.777316150906758,-0.9469153900889719,0.664325609688658,False,False,False,False,True,4.17254538056911,4.184313025884383,3.096102405570844,2.9832709348374937,2.0568201182393717,0.7811,0.9255,1.1521,1.1702,1.1633
530.7038,1.0680539485063327,-0.7792253357330323,False,530.8677,1.0769394937249455,-0.7019412839319583,False,51.0128,1.057488432642023,-0.5457592852242567,False,50.993,1.262960712304522,-0.21302278729757101,False,50.8151,0.8170438822862047,-0.731902241877432,False,3303.2068150055993,9.140217947789637,-2.123643806777407,0.9066495498152422,False,False,True,False,False,4.422922468223833,4.336727694780262,3.4305059914327543,3.886910939965928,3.1102667127709975,0.734,0.8506,0.8178,0.7621,0.2517
597.0486,0.48219824608145356,-0.6650092361269782,False,598.0054,0.40806279202777157,-0.7125513205085794,False,56.9829,0.4438281043037826,-0.6869780538211027,False,57.1594,0.597276497618369,-0.3965864195140424,False,57.9916,0.6190081593190209,-0.48921676537376413,False,1691.149493622289,8.872608384859427,-1.4041587239392428,1.0639139178947608,False,False,False,False,True,3.4394999641174038,3.2497514656348776,2.681543998298526,3.023862929554238,2.852931981236967,0.7806,0.8464,0.7572,0.7066,0.4427
