CRE_g,CN_g,CXC_g,CNumerical_Error_g,CRE_ERR_g,CN_ERR_g,CRE_r,Axis Ratio,CN_r,CXC_r,CNumerical_Error_r,CRE_ERR_r,CN_ERR_r,CRE_W1-fixBA,CN_W1-fixBA,CXC_W1-fixBA,CNumerical_Error_W1-fixBA,CRE_ERR_W1-fixBA,CN_ERR_W1-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CXC_W3-fixBA,CNumerical_Error_W3-fixBA,CRE_ERR_W3-fixBA,CN_ERR_W3-fixBA,VFID,Vcosmic,logmstar,logsfr,delta_logsfr,Size Ratio,NUV_r,W1_W3,RA,DEC,Group_Rank,t_type,t_type_err,WISE_AGN,kauffman_AGN,SNR_W1,SNR_W3,SNR_g,SNR_NUV,NEARBYSTAR,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CN_g_unscaled,CN_W1-fixBA_unscaled,logmstar_unscaled
-0.5759388835451104,-0.8793424047203702,262.1046,False,0.029,0.0009,1.474467073328409,0.7682,0.7629,263.2256,False,0.034,0.0009,1.3062962308302533,-0.9567045661098571,25.4268,False,0.031,0.0202,1.3747655203533664,0.3698,25.0935,False,0.0693,0.0456,b'VFID0000',1809.6754122333089,-0.38759718419150285,-1.0456992440870743,0.47375330992109954,1.0524148259078996,inf,0.1685872853369137,185.8700517948154,74.95241885270784,,3.0,0.5,False,False,538.48,27.125975,1638.291,0.0,False,False,True,False,False,False,1.4572549965646233,0.6295,0.5721,8.808414414327089
-0.5985558309635596,0.16864827596512602,660.1527,False,0.0379,0.0008,1.3240521227076578,0.6264,1.9104,659.8331,False,0.0378,0.0011,0.8970739606846747,0.9827767838529976,62.9412,False,0.015,0.0195,1.6792363876899183,13.4465,62.898,True,0.4913,0.386,b'VFID0001',1081.7584723176835,0.5257083369767657,-0.469053800164842,0.5475039419633833,1.871904058399235,,0.9283253467846677,182.20754856451998,74.90425582471421,,3.0,0.5,False,False,2494.921,254.09189,3300.6587,-8533.389,False,False,True,False,False,False,1.407882928485912,1.6999,2.5229,9.437967650319305
0.6455820167823797,-0.8024858385452847,489.4673,False,0.0322,0.0007,4.017262060621829,0.4784,0.9618,488.8517,False,0.0371,0.0008,3.228038829746542,-0.666995285107614,47.0264,False,0.0127,0.0064,3.377537288206356,0.4994,46.8192,False,0.0116,0.0047,b'VFID0002',3068.6982545259793,1.6589462351229216,-0.06763142205179036,0.3249298080719472,1.0463124721679855,2.7116919748535153,1.2926424821923828,145.94420183564296,74.86001423320997,,3.0,0.7,False,False,2098.3354,347.51816,3341.3005,303.1088,False,False,False,False,False,True,4.123795796024685,0.708,0.8635,10.219123100922877
-0.5627758345191128,3.5930244014935186,321.8381,False,0.0735,0.006,1.5124495738838808,0.8274,5.7319,322.0434,False,0.0896,0.0081,0.8078032470776416,3.7618582978734856,31.0067,False,0.0248,0.1341,0.003985215821793988,2.4421,31.1047,True,0.0001654,0.0,b'VFID0003',2211.9535611201745,0.7837728083856188,-2.8721846796798003,-1.9977253709827503,0.00493339911198816,inf,-3.780671263701171,185.57240243727085,74.83848634696972,,-5.0,2.0,False,False,1006.5297,1.6270401,1627.5594,0.0,False,False,True,False,False,False,1.4859895088138244,5.1975,5.3182,9.615854807797827
0.4629019560188275,-0.25714689129021995,508.9914,False,0.1296,0.0013,3.892116878466973,0.7379,1.5365,508.4573,False,0.1593,0.0017,3.19467107647151,-0.18659883836676336,48.6385,False,0.1196,0.0243,2.4618363665572813,0.9034,48.8946,False,0.1921,0.0491,b'VFID0004',2065.5721196274976,0.6973324829903059,-0.865114105802932,0.0569419710850213,0.7706071478495875,inf,-0.13275272480957057,182.82812575613877,74.80855031644607,,8.0,0.5,False,False,812.9755,26.35536,1208.2119,0.0,False,False,True,False,False,False,3.7250111046262346,1.265,1.3467,9.556270380340049
0.20120736898529365,-0.606379211731659,618.4471,False,0.043,0.0008,3.247049638207493,0.4539,1.2166,620.0802,False,0.0542,0.0008,2.695551586291234,-0.6550649097746459,59.2713,False,0.0233,0.0099,2.5708655590832854,0.6718,59.4307,False,0.0299,0.0109,b'VFID0005',2202.600664358308,1.0362298133568502,-1.0836252482557123,-0.3481767251940979,0.9537437799958778,3.0736345684814452,0.5244779332153318,173.13398234117378,74.62753107973944,,2.1,0.5,False,False,1029.5621,67.070114,1605.5953,40.06496,False,False,False,False,False,True,3.1537402461941895,0.9083,0.8755,9.789876666578706
-0.27240989142748046,-0.5308933359087407,300.7527,False,0.0431,0.0015,2.0073230267451394,0.3143,1.0984,301.0609,False,0.0522,0.0017,1.6908772183894978,-0.5485863099279051,28.9388,False,0.0358,0.0411,5.220877972864853,2.0999,28.9305,False,3.5273,0.6804,b'VFID0007',2680.215400343395,-0.4792504910915339,-1.377217013984891,0.19270274016974343,3.0876742060772218,2.208140140014649,0.24350969015869062,118.23623398411618,74.57670898971742,,4.6,2.6,False,False,306.82175,10.789808,782.1036,64.24754,False,False,False,False,False,True,2.1198490144677624,0.9854,0.9826,8.745236611706895
0.9105132906509981,-0.8613276172347449,845.3353,False,0.0547,0.0004,4.52066899488396,0.5131,0.7692,847.024,False,0.0599,0.0005,3.794122342999619,-0.6500939200525758,80.8153,False,0.0218,0.0042,3.3952185282747176,0.5419,80.8697,False,0.0213,0.003,b'VFID0008',1516.6975640757769,1.780067425669412,0.32093742788673646,0.6468055121542697,0.8948626905874811,3.105911816589355,1.4095045732373048,274.94500204239154,74.56892893475947,,5.2,0.5,False,False,5270.475,1371.1328,7473.387,496.27625,False,False,False,False,False,True,4.702132237614999,0.6479,0.8805,10.302613494540813
0.4401427121493906,-0.24843321690858597,504.5408,False,0.0466,0.0013,3.4947994946072907,0.6146,1.3889,505.1966,False,0.0502,0.0013,2.728837822273473,-0.19176866767771633,48.3826,False,0.0226,0.0181,2.3951426618887894,1.0198,48.2718,False,0.0259,0.0265,b'VFID0011',3671.9688577414645,1.4096962799528494,-0.4459323859052998,0.08387372713122321,0.8777152831652445,2.724070092407228,0.779579082407226,154.4166924583944,74.34827552596614,,3.5,1.5,False,False,1019.37976,76.150314,1539.4307,41.070786,False,False,True,False,False,False,3.6753284079761452,1.2739,1.3415,10.047311902795538
-0.2113412851904409,1.9886313442818944,517.931,False,0.0351,0.0026,2.2784150162468517,0.5258,3.7447,517.601,False,0.0366,0.0028,1.3647777925600544,1.8499162309708987,49.5479,False,0.0131,0.04,0.011636351459099125,19.9996,49.5518,True,0.0238,9.2082,b'VFID0013',3295.223815508917,2.00595504508424,-2.343897390168317,-2.1424101502499115,0.008526187576126675,4.571645983459474,0.034759377473143616,139.63306821403705,74.3190717641266,,2.1,2.1,False,False,2026.6006,97.09757,2878.2847,21.872595,False,False,False,False,False,True,2.2531598158249633,3.5588,3.3951,10.458320734316693
