VFID,RA,DEC,objname,group_flag,SNR_phot,WISE_AGN_flag,kauffman_AGN_flag,preGALFIT_sample_flag,Re_W1,Re_W1_err,Re_W3,Re_W3_err,size_ratio_px,bad_model_flag,virgowise_sample_flag,axis_ratio,t_type,logM200_model
b'VFID5484',186.871395,7.6436876,b'UGC07567',False,10.643564,False,False,False,7.1451,0.0656,6.422,0.3858,0.8987977774978656,False,False,0.47,9.7,
b'VFID5485',186.80337,7.6392894,b'PGC213995',False,0.208469,False,False,False,4.1424,1.1361,0.0225,0.01,0.005431633835457705,True,False,0.42,10.0,
b'VFID5486',169.4416695,7.6386465,b'PGC034501',False,0.11944994,True,False,False,12.8851,3.6556,313.3752,14745.0137,24.320742563115537,True,False,0.42,9.0,
b'VFID5487',184.781727,7.6342363,b'SDSSJ121907.33+073805.5',False,1.868315,False,False,False,2.4128,0.1274,0.0105,71.9382,0.004351790450928383,True,False,0.47,10.0,
b'VFID5488',184.282029,7.6243615,b'NGC4233',False,39.31518,False,True,False,4.5001,0.0156,2.2327,0.1787,0.49614453012155285,False,False,0.68,-2.0,13.384944880951958
b'VFID5489',195.842082,7.6160765,b'PGC1326378',False,3.3233025,False,False,False,1.1906,0.1357,0.0114,8.1431,0.009575004199563244,True,False,0.66,-5.0,
b'VFID5490',191.31427499999998,7.6156763,b'PGC042982',False,1.1832237,False,True,False,3.5745,0.0932,36.4264,1888.9896,10.190628059868514,True,False,0.53,-5.0,
b'VFID5491',187.697064,7.6053961,b'PGC041356',False,1.8561362,False,False,False,5.8333,0.2541,2.4812,42.6795,0.4253510020057257,True,False,0.93,-5.0,
b'VFID5492',185.90374232348574,7.59501001936427,b' ',False,0.048634965,False,False,False,35.1925,49.3448,23.6624,13.5837,0.6723705334943525,False,False,0.83,0.0,
b'VFID5493',186.2253315,7.5569349,b'PGC040437',False,-1.4858054,False,False,False,3.64,0.1037,10.7163,328.2278,2.9440384615384616,False,False,0.84,-5.0,
b'VFID5494',186.475479,7.554779,b'IC3322',False,117.13524,False,False,False,10.2983,0.031,8.3107,0.1007,0.8069972713943079,False,False,0.21,6.3,14.184423988092279
b'VFID5495',142.047081,7.5436109,b'AGC198454',False,0.20433795,False,False,False,3.0053,1.519,0.0152,0.0163,0.005057731341297042,True,False,0.45,,
b'VFID5496',242.07200699999999,7.538608,b'IC1197',False,58.702423,False,False,True,12.1567,0.0293,11.4125,0.1067,0.9387827288655638,False,True,0.15,6.0,11.238232861885086
