CRE_g,CN_g,CXC_g,CNumerical_Error_g,CRE_ERR_g,CN_ERR_g,CRE_r,Axis Ratio,CN_r,CXC_r,CNumerical_Error_r,CRE_ERR_r,CN_ERR_r,CRE_W1-fixBA,CN_W1-fixBA,CXC_W1-fixBA,CNumerical_Error_W1-fixBA,CRE_ERR_W1-fixBA,CN_ERR_W1-fixBA,CRE_W3-fixBA,CN_W3-fixBA,CXC_W3-fixBA,CNumerical_Error_W3-fixBA,CRE_ERR_W3-fixBA,CN_ERR_W3-fixBA,VFID,Vcosmic,logmstar,logsfr,delta_logsfr,Size Ratio,NUV_r,W1_W3,RA,DEC,t_type,WISE_AGN,kauffman_AGN,SNR_W1,SNR_W3,SNR_g,SNR_NUV,NEARBYSTAR,cluster_member,rich_group_memb,poor_group_memb,filament_member,pure_field,CRE_g_unscaled,CN_g_unscaled,logmstar_unscaled,CN_W1-fixBA_unscaled
0.6097666729536935,-0.8003845024470614,489.4673,False,0.0322,0.0007,4.017262060621829,0.4784,0.9618,488.8517,False,0.0371,0.0008,3.228038829746542,-0.4118283573130355,47.0264,False,0.0127,0.0064,3.377537288206356,0.4994,46.8192,False,0.0116,0.0047,b'VFID0002',3068.6982545259793,1.5198157531871237,-0.06763142205179036,0.3249298080719472,1.0463124721679855,2.7116919748535153,1.2926424821923828,145.94420183564296,74.86001423320997,3.0,False,False,2098.3354,347.51816,3341.3005,303.1088,False,False,False,False,False,True,4.123795796024685,0.708,10.219123100922877,0.8635
0.17990665029058286,-0.6198965205657418,618.4471,False,0.043,0.0008,3.247049638207493,0.4539,1.2166,620.0802,False,0.0542,0.0008,2.695551586291234,-0.4075639234561262,59.2713,False,0.0233,0.0099,2.5708655590832854,0.6718,59.4307,False,0.0299,0.0109,b'VFID0005',2202.600664358308,0.9141028803655548,-1.0836252482557123,-0.3481767251940979,0.9537437799958778,3.0736345684814452,0.5244779332153318,173.13398234117378,74.62753107973944,2.1,False,False,1029.5621,67.070114,1605.5953,40.06496,False,False,False,False,False,True,3.1537402461941895,0.9083,9.789876666578706,0.8755
-0.2782408324785961,-0.5504226144097271,300.7527,False,0.0431,0.0015,2.0073230267451394,0.3143,1.0984,301.0609,False,0.0522,0.0017,1.6908772183894978,-0.36950385128320984,28.9388,False,0.0358,0.0411,5.220877972864853,2.0999,28.9305,False,3.5273,0.6804,b'VFID0007',2680.215400343395,-0.5599965601286784,-1.377217013984891,0.19270274016974343,3.0876742060772218,2.208140140014649,0.24350969015869062,118.23623398411618,74.57670898971742,4.6,False,False,306.82175,10.789808,782.1036,64.24754,False,False,False,False,False,True,2.1198490144677624,0.9854,8.745236611706895,0.9826
0.8660444870771792,-0.8545399078942272,845.3353,False,0.0547,0.0004,4.52066899488396,0.5131,0.7692,847.024,False,0.0599,0.0005,3.794122342999619,-0.40578707601574726,80.8153,False,0.0218,0.0042,3.3952185282747176,0.5419,80.8697,False,0.0213,0.003,b'VFID0008',1516.6975640757769,1.6376296757386046,0.32093742788673646,0.6468055121542697,0.8948626905874811,3.105911816589355,1.4095045732373048,274.94500204239154,74.56892893475947,5.2,False,False,5270.475,1371.1328,7473.387,496.27625,False,False,False,False,False,True,4.702132237614999,0.6479,10.302613494540813,0.8805
0.41103763973090873,-0.2904586464977915,504.5408,False,0.0466,0.0013,3.4947994946072907,0.6146,1.3889,505.1966,False,0.0502,0.0013,2.728837822273473,-0.24196174201281173,48.3826,False,0.0226,0.0181,2.3951426618887894,1.0198,48.2718,False,0.0259,0.0265,b'VFID0011',3671.9688577414645,1.2773716789349334,-0.4459323859052998,0.08387372713122321,0.8777152831652445,2.724070092407228,0.779579082407226,154.4166924583944,74.34827552596614,3.5,False,False,1019.37976,76.150314,1539.4307,41.070786,False,False,True,False,False,False,3.6753284079761452,1.2739,10.047311902795538,1.3415
-0.21916691232767577,1.7684379575991986,517.931,False,0.0351,0.0026,2.2784150162468517,0.5258,3.7447,517.601,False,0.0366,0.0028,1.3647777925600544,0.4878250386996144,49.5479,False,0.0131,0.04,0.011636351459099125,19.9996,49.5518,True,0.0238,9.2082,b'VFID0013',3295.223815508917,1.8573493332073128,-2.343897390168317,-2.1424101502499115,0.008526187576126675,4.571645983459474,0.034759377473143616,139.63306821403705,74.3190717641266,2.1,False,False,2026.6006,97.09757,2878.2847,21.872595,False,False,False,False,False,True,2.2531598158249633,3.5588,10.458320734316693,3.3951
2.75698773783203,-0.3876860715851325,694.3507,False,0.4721,0.0018,9.963529352808933,0.7735,1.4517,693.3633,False,0.8825,0.0031,6.991625403974563,-0.277321006076352,66.1902,False,0.3263,0.0226,5.578773096663467,0.7582,66.1726,False,0.4911,0.0492,b'VFID0016',1961.8465971018964,0.7735116968998187,-1.065994846406942,-0.250959224453178,0.7979221961022219,2.5432627284545912,-0.09204115963623138,138.69735792976337,74.23221816445067,6.9,False,False,808.0167,23.309422,2037.407,316.99384,False,False,False,False,False,True,8.969381802822538,1.166,9.690244865917485,1.242
0.9733137225325145,-0.10231141426204764,296.3992,False,0.3725,0.0048,5.009951043313659,0.738,1.6675,296.486,False,0.4188,0.0055,2.9551614347971795,-0.32668182797007816,28.426,False,0.1731,0.0599,10.956956665101922,0.0565,32.8758,False,1.194,0.0479,b'VFID0017',3146.789073434854,-0.5983563900212754,-1.0537148842862332,0.5379199411828999,3.7077354001995246,2.2267816729736314,0.7908229354980456,157.67722186862505,74.22851533944645,9.7,False,False,178.15149,11.595968,456.06616,14.932244,False,False,True,False,False,False,4.944204334794117,1.4827,8.718052411168538,1.1031
1.0183577271474105,1.9229745971031742,1081.9525,False,0.049,0.0011,5.022205793541379,0.8016,4.4739,1082.0963,False,0.0627,0.0023,0.0,-0.7186899102664734,0.0,False,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,b'VFID0018',2083.9588786633026,2.395948316605712,-3.7789756356922486,-3.8823832654111468,,5.680308156311035,-1.9556983141406246,189.35461740045764,74.1919131845021,-4.8,False,False,5337.066,51.17559,6980.8516,174.9832,False,False,False,True,False,False,5.045854137891799,3.7303,10.840006023731473,0.0
1.3417103559261951,-0.26072273335708496,583.6997,False,0.1219,0.0013,6.144133836481442,0.4679,1.9305,583.3223,False,0.1918,0.0022,4.215536707784495,0.32595423688109576,55.4259,False,0.0891,0.0353,46.81852197055371,11.5267,55.4143,True,21.9676,0.6548,b'VFID0019',2672.611088159115,1.8902033989085798,-0.5181190693212444,-0.3352301490948638,11.106182964579027,3.3744015609130855,0.8936455163793937,155.45353994192592,74.17672837899357,3.8,False,False,2669.54,262.1185,3465.0862,266.15338,False,False,True,False,False,False,5.775556821467399,1.3069,10.481603202279253,2.9396
