Feature Cluster,CRE_g_unscaled,CRE_g_unscaled_err_low,CRE_g_unscaled_err_high,CRE_W1-fixBA_unscaled,CRE_W1-fixBA_unscaled_err_low,CRE_W1-fixBA_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high,NUV_r,NUV_r_err_low,NUV_r_err_high,W1_W3,W1_W3_err_low,W1_W3_err_high
0,1.7842802118053889,0.02739785625937552,0.03250074576631223,1.577198746087533,0.01959255088831635,0.025977850202649533,1.0635,0.012499999999999956,0.014300000000000201,1.0605,0.0132000000000001,0.016199999999999992,0.9240371834071933,0.007433230713688177,0.008390464232619466,2.478908682830811,0.013829427734376232,0.03283690374755821,-0.21245084891113475,0.027083554644772967,0.027825429394531476
1,2.136294184596693,0.1227099253234103,0.10768298001243659,1.4255072913520288,0.049736997426528706,0.04503325215900866,3.4753,0.06504999999999983,0.04459999999999997,3.23355,0.07055000000000033,0.08274999999999988,0.8238910368612575,0.040618044610134074,0.051491616294150555,4.889569924194337,0.1439377686767589,0.07161599499511695,-1.182885527363279,0.13376443106689706,0.22648921116943121
2,5.479471360718341,0.10044748313868279,0.051364015157236764,4.202336047790588,0.06189473476888541,0.03684708950681248,1.3017,0.033600000000000074,0.020999999999999908,1.3722,0.032200000000000006,0.023699999999999832,0.9491694314540328,0.01460468163720896,0.010527227623063351,2.4498062923583994,0.08285987902832126,0.0757889635620117,0.21404239919677792,0.05245549544921957,0.03480754802978403
