Feature Cluster,CRE_g_unscaled,CRE_g_unscaled_err_low,CRE_g_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,logmstar_unscaled,logmstar_unscaled_err_low,logmstar_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high,NUV_r,NUV_r_err_low,NUV_r_err_high,W1_W3,W1_W3_err_low,W1_W3_err_high
0,4.617617698188413,0.2962778620137847,0.25940431553600085,4.1142,0.3077000000000001,0.11789999999999967,10.419896148140786,0.045154218869214446,0.03029025347405856,3.7088,0.15569999999999995,0.1267999999999998,0.9062288390191796,0.13151364622153472,0.049699610405525285,4.9667486270141605,0.10348499169921865,0.27815977044677886,-1.1164246662817394,0.20022529214843665,0.14357942284912362
1,1.7091941571872828,0.07248569186042797,0.06187668516375733,3.4214,0.10980000000000034,0.06459999999999999,9.812050933455179,0.022439837775525717,0.06253592543888509,3.2566,0.11840000000000028,0.13849999999999962,0.8848824503894822,0.05814018788718467,0.03428279221835784,5.316596035705567,0.07552702789306842,0.09959944708251989,-1.7581242128662105,0.05307253554443392,0.157645644907225
2,0.8132236931530585,0.08279145360949691,0.08519787395989298,2.4402,0.05410000000000004,0.05279999999999996,8.675485355050387,0.03764455340369999,0.04653328851443028,2.7133,0.1069,0.020199999999999996,0.7765858019423788,0.25915882458760364,0.02477284426372295,2.822874675720213,0.06146371929931327,0.16686663177490502,-0.2191044021093731,0.050675417695314806,0.165798283896482
3,0.9023788673900327,0.06818127657957851,0.08561026284173223,1.8996,0.05879999999999996,0.034399999999999986,8.57854183372428,0.021027165469114095,0.02686143896095672,1.5847,0.038000000000000034,0.03980000000000006,0.9129988382987351,0.06355433651843745,0.02637188293450521,2.8270515360107407,0.1500170108032215,0.37928427282715127,-0.40997366237304433,0.13403749556885103,0.16887865193847418
4,2.0556754770161656,0.07123386318918956,0.08166260124380109,0.944,0.02849999999999997,0.05235000000000012,9.43649734476269,0.032549239241021155,0.029905581723783214,0.9774499999999999,0.01429999999999998,0.051100000000000145,0.9212241046151081,0.011336823036119936,0.011968802829559921,2.7006056131896985,0.047809953399659655,0.13701009799194264,0.6010194955676269,0.054539803575439194,0.06299492415039065
5,3.512460419067262,0.06585785175304792,0.062197907135353336,0.9836,0.011050000000000004,0.016699999999999937,8.80203394657402,0.02183908501111631,0.02545334951009437,0.95035,0.0343,0.034050000000000025,0.8953661202185793,0.03127292265640358,0.04248461614479093,2.134400991729737,0.0608308927307144,0.01722848764038165,-0.47813999764526294,0.052387186500245875,0.05448989886352429
6,4.245296610290499,0.09474396434773791,0.28249158288981846,0.9639,0.029000000000000026,0.02265000000000006,9.796065303090083,0.025203089203506224,0.029550917790722053,1.0356,0.017349999999999977,0.019399999999999862,0.9538026732401975,0.004178848987272388,0.007290524567262646,2.65721326675415,0.03892897842407006,0.03846359832763646,0.46056833416748066,0.03675649090820432,0.05562692479736331
7,0.8209274424593804,0.047553416130248105,0.08430847989021795,1.0355,0.0596000000000001,0.03179999999999983,8.370026784252659,0.019284955654786273,0.029897685944689556,3.7949,0.3620000000000001,0.7493999999999996,0.37369258167190367,0.2749419026930878,0.2749419026930878,2.627486144653318,0.184786351562499,0.09422476831054993,-0.22008312724121026,0.06704232158691426,0.14577264767578058
8,1.4067867955010258,0.0265499678247203,0.02979132168012044,0.9582,0.01970000000000005,0.015699999999999936,8.552125945934387,0.015646060390011485,0.015963630366416126,0.9446,0.008599999999999941,0.01649999999999996,0.9293404009896911,0.01822494191720303,0.021806840664445826,2.389932347167967,0.02938439770507628,0.036482420776367874,-0.4015427984912101,0.03379675898926138,0.028644724047849124
