Feature Cluster,CRE_g_unscaled,CRE_g_unscaled_err_low,CRE_g_unscaled_err_high,CRE_r_unscaled,CRE_r_unscaled_err_low,CRE_r_unscaled_err_high,CRE_W1-fixBA_unscaled,CRE_W1-fixBA_unscaled_err_low,CRE_W1-fixBA_unscaled_err_high,CRE_W2_unscaled,CRE_W2_unscaled_err_low,CRE_W2_unscaled_err_high,CRE_W3-fixBA_unscaled,CRE_W3-fixBA_unscaled_err_low,CRE_W3-fixBA_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,CN_r_unscaled,CN_r_unscaled_err_low,CN_r_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,CN_W2_unscaled,CN_W2_unscaled_err_low,CN_W2_unscaled_err_high,CN_W3-fixBA_unscaled,CN_W3-fixBA_unscaled_err_low,CN_W3-fixBA_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high,NUV_r,NUV_r_err_low,NUV_r_err_high,W1_W3,W1_W3_err_low,W1_W3_err_high
0,4.535046819338014,0.112670130842214,0.05074954572874102,4.300208630076144,0.03391325253345023,0.11395202379714409,3.4740657839453,0.04171067035729781,0.024302594217745277,3.6214623492328326,0.0491839067444495,0.03661621569469453,3.2461953775858055,0.058243468753519156,0.05136310204879768,0.9629,0.025899999999999923,0.01860000000000006,1.1099,0.031200000000000117,0.028699999999999948,1.0199,0.008099999999999996,0.012299999999999978,0.8962,0.013800000000000034,0.013600000000000056,0.6521,0.019100000000000006,0.01200000000000001,0.9301494584757668,0.00989570532045947,0.007827634010313944,2.6333607515258777,0.039824126037595775,0.05657726440429833,0.27178002321289085,0.05711675831054741,0.031384427983397245
1,1.7592273222850354,0.1244040040616139,0.08154410067983986,1.701197718302789,0.06288079420414872,0.11933798067578083,1.445727667580863,0.06471585008395064,0.08299053473778017,1.4057665368599832,0.07211392961423635,0.05692337478259635,1.2040065222009597,0.048309037817114486,0.06346543988252451,1.5109,0.02729999999999988,0.04170000000000007,1.5191,0.01849999999999996,0.03960000000000008,1.505,0.025499999999999856,0.042200000000000015,0.9952,0.015000000000000013,0.009599999999999942,1.0525,0.05789999999999995,0.05580000000000007,0.8510820533318105,0.02508095763687246,0.02995128496862709,2.8376738000488295,0.10180054803466909,0.17855119036864942,-0.045428985366211094,0.06263253154785176,0.04100625607421904
2,1.765507257256987,0.0329175719217496,0.05242394330682165,1.7542283987850997,0.05952785025059937,0.04132724929319509,1.580006927415798,0.03707560628357576,0.04819959884951763,1.7332535313499207,0.05348656102580507,0.04259880299997554,1.4810732315759063,0.033892881048685375,0.04054688784539673,0.8258,0.009800000000000031,0.0131,0.894,0.009000000000000008,0.011399999999999966,0.831,0.01639999999999997,0.015300000000000091,0.6822,0.005099999999999993,0.007499999999999951,0.485,0.0242,0.016100000000000003,0.9316608426188435,0.010751110601918246,0.012898052194535103,2.4026824175415022,0.028066658508301146,0.01826424200439547,-0.04589484336669791,0.02959087296630969,0.04312125580077897
