Feature Cluster,CRE_W3-fixBA_unscaled,CRE_W3-fixBA_unscaled_err_low,CRE_W3-fixBA_unscaled_err_high,CN_g_unscaled,CN_g_unscaled_err_low,CN_g_unscaled_err_high,CN_r_unscaled,CN_r_unscaled_err_low,CN_r_unscaled_err_high,CN_W1-fixBA_unscaled,CN_W1-fixBA_unscaled_err_low,CN_W1-fixBA_unscaled_err_high,CN_W2_unscaled,CN_W2_unscaled_err_low,CN_W2_unscaled_err_high,CN_W3-fixBA_unscaled,CN_W3-fixBA_unscaled_err_low,CN_W3-fixBA_unscaled_err_high,AVG_RE_gr_unscaled,AVG_RE_gr_unscaled_err_low,AVG_RE_gr_unscaled_err_high,AVG_RE_W1W2_unscaled,AVG_RE_W1W2_unscaled_err_low,AVG_RE_W1W2_unscaled_err_high,NUV_r_unscaled,NUV_r_unscaled_err_low,NUV_r_unscaled_err_high,W1_W3_unscaled,W1_W3_unscaled_err_low,W1_W3_unscaled_err_high,Size Ratio,Size Ratio_err_low,Size Ratio_err_high
0,3.313087307574842,0.12331989398207899,0.1708265782882883,1.4371,0.058499999999999996,0.08319999999999994,1.6976,0.01550000000000007,0.03210000000000002,1.3992,0.06899999999999995,0.01639999999999997,1.2104,0.0532999999999999,0.009600000000000053,0.8819,0.1048,0.04810000000000003,5.092015365610848,0.22198037455646613,0.1704370744503816,3.749720467265243,0.22173810168781483,0.1422761679211253,2.321865947631835,0.07421165893554615,0.03174713073730473,0.3965373942797843,0.07482656881835942,0.11322047376464894,0.9301494584757668,0.012194780962692997,0.03896001387323156
1,0.66879107457015,0.07235436903720682,0.058907957652966525,1.6476,0.06709999999999994,0.02980000000000005,1.564,0.06520000000000015,0.028299999999999992,1.5476,0.01880000000000015,0.054099999999999815,0.9603,0.028900000000000037,0.03149999999999997,1.5953,0.1955,0.13240000000000007,1.072412711701319,0.09904897032110571,0.12605164068429597,1.0171180963228372,0.057235865783559214,0.019172339303498376,3.3883893084106447,0.18205349957275274,0.09966109149169933,-0.5387412211279301,0.1286248449804699,0.1570109719213857,0.6982839982839982,0.030444869003403596,0.05455955275684876
2,1.2116577762712302,0.04660985613356616,0.0451486852855556,0.7291,0.010299999999999976,0.010700000000000043,0.779,0.016700000000000048,0.0121,0.7151,0.01539999999999997,0.018900000000000028,0.6385,0.012299999999999978,0.00770000000000004,0.4013,0.059599999999999986,0.026600000000000013,1.4096611656453013,0.0647718158179178,0.046027446124663474,1.3774984636871652,0.054911567920613136,0.03531078312521618,2.2547212817993145,0.02274658221435466,0.02930137066650751,-0.1234392873461907,0.09366385020751972,0.09459501562744069,0.9308967687280648,0.014321015284726402,0.01180539266724523
3,3.2851022323065693,0.09063891760976706,0.06674888038770721,0.70445,0.020950000000000024,0.014950000000000019,0.8275999999999999,0.027649999999999952,0.014600000000000057,0.77085,0.007500000000000062,0.007050000000000001,0.70885,0.0041999999999999815,0.016149999999999998,0.4315,0.03149999999999997,0.0252,4.227554854009528,0.09997096964090701,0.10936257688429585,3.574643152075952,0.03296669021916809,0.08029978564612605,2.7657946943969725,0.06598566302490338,0.1397018643798833,0.42455147423706036,0.06642509643554545,0.03578588932739374,0.9527566210345344,0.013064530595694235,0.0045606309849179905
